Time,Price ($)
2017-05-02 00:00:00,21.33
2017-05-02 01:00:00,22.05
2017-05-02 02:00:00,20.5
2017-05-02 03:00:00,20.49
2017-05-02 04:00:00,21.11
2017-05-02 05:00:00,20.39
2017-05-02 06:00:00,20.66
2017-05-02 07:00:00,20.77
2017-05-02 08:00:00,20.77
2017-05-02 09:00:00,20.6
2017-05-02 10:00:00,21.03
2017-05-02 11:00:00,22.23
2017-05-02 12:00:00,21.27
2017-05-02 13:00:00,22.3
2017-05-02 14:00:00,22.53
2017-05-02 15:00:00,22.97
2017-05-02 16:00:00,21.83
2017-05-02 17:00:00,21.97
2017-05-02 18:00:00,23.45
2017-05-02 19:00:00,22.37
2017-05-02 20:00:00,20.4
2017-05-02 21:00:00,18.65
2017-05-02 22:00:00,18.92
2017-05-02 23:00:00,21.3
2017-05-03 00:00:00,22.43
2017-05-03 01:00:00,24.1
2017-05-03 02:00:00,24.2
2017-05-03 03:00:00,25.6
2017-05-03 04:00:00,25.33
2017-05-03 05:00:00,25.94
2017-05-03 06:00:00,25.67
2017-05-03 07:00:00,25.12
2017-05-03 08:00:00,25.26
2017-05-03 09:00:00,24.78
2017-05-03 10:00:00,26.09
2017-05-03 11:00:00,26.28
2017-05-03 12:00:00,26.68
2017-05-03 13:00:00,26.35
2017-05-03 14:00:00,27.6
2017-05-03 15:00:00,26.87
2017-05-03 16:00:00,27.53
2017-05-03 17:00:00,27.18
2017-05-03 18:00:00,26.24
2017-05-03 19:00:00,25.75
2017-05-03 20:00:00,24.95
2017-05-03 21:00:00,24.73
2017-05-03 22:00:00,24.39
2017-05-03 23:00:00,24.71
2017-05-04 00:00:00,25.27
2017-05-04 01:00:00,25.12
2017-05-04 02:00:00,25.1
2017-05-04 03:00:00,25.39
2017-05-04 04:00:00,24.85
2017-05-04 05:00:00,25.56
2017-05-04 06:00:00,26.4
2017-05-04 07:00:00,26.6
2017-05-04 08:00:00,29.0
2017-05-04 09:00:00,29.91
2017-05-04 10:00:00,29.8
2017-05-04 11:00:00,29.44
2017-05-04 12:00:00,29.21
2017-05-04 13:00:00,28.71
2017-05-04 14:00:00,29.83
2017-05-04 15:00:00,29.14
2017-05-04 16:00:00,29.06
2017-05-04 17:00:00,28.53
2017-05-04 18:00:00,29.57
2017-05-04 19:00:00,28.15
2017-05-04 20:00:00,27.79
2017-05-04 21:00:00,27.67
2017-05-04 22:00:00,27.99
2017-05-04 23:00:00,28.45
2017-05-05 00:00:00,28.23
2017-05-05 01:00:00,29.22
2017-05-05 02:00:00,29.54
2017-05-05 03:00:00,32.01
2017-05-05 04:00:00,30.5
2017-05-05 05:00:00,31.12
2017-05-05 06:00:00,30.07
2017-05-05 07:00:00,29.27
2017-05-05 08:00:00,31.26
2017-05-05 09:00:00,33.0
2017-05-05 10:00:00,31.15
2017-05-05 11:00:00,45.93
2017-05-05 12:00:00,45.86
2017-05-05 13:00:00,43.730000000000004
2017-05-05 14:00:00,43.68
2017-05-05 15:00:00,44.07
2017-05-05 16:00:00,44.29
2017-05-05 17:00:00,42.3
2017-05-05 18:00:00,43.4
2017-05-05 19:00:00,43.65
2017-05-05 20:00:00,43.59
2017-05-05 21:00:00,42.83
